Trial Number/Type,Label Noise Prob,Accuracy,Flip Count
Average,0.8200000000000001,0.20112000000000002,3084.8
0,0.8300000000000001,0.2136,3104.0
1,0.8300000000000001,0.1872,3139.0
2,0.8300000000000001,0.1768,3108.0
3,0.8300000000000001,0.188,3127.0
4,0.8300000000000001,0.1968,3121.0
Average,0.8300000000000001,0.19248,3119.8
0,0.84,0.1856,3140.0
1,0.84,0.1672,3185.0
2,0.84,0.1528,3141.0
3,0.84,0.1824,3167.0
4,0.84,0.1504,3157.0
Average,0.84,0.16768,3158.0
0,0.85,0.164,3173.0
1,0.85,0.1352,3228.0
2,0.85,0.1568,3186.0
3,0.85,0.16,3204.0
4,0.85,0.1448,3183.0
Average,0.85,0.15216000000000002,3194.8
0,0.86,0.1432,3207.0
1,0.86,0.1376,3260.0
2,0.86,0.1352,3227.0
3,0.86,0.1384,3233.0
4,0.86,0.148,3212.0
Average,0.86,0.14048,3227.8
0,0.87,0.1528,3238.0
1,0.87,0.1312,3301.0
2,0.87,0.124,3273.0
3,0.87,0.1232,3273.0
4,0.87,0.1264,3258.0
Average,0.87,0.13152,3268.6
0,0.88,0.1192,3286.0
1,0.88,0.1184,3331.0
2,0.88,0.104,3318.0
3,0.88,0.1288,3301.0
4,0.88,0.12,3303.0
Average,0.88,0.11808,3307.8
0,0.89,0.1168,3322.0
1,0.89,0.1128,3360.0
2,0.89,0.1032,3350.0
3,0.89,0.1136,3327.0
4,0.89,0.1248,3333.0
Average,0.89,0.11424000000000001,3338.4
0,0.9,0.1056,3359.0
1,0.9,0.088,3401.0
2,0.9,0.0848,3382.0
3,0.9,0.108,3363.0
4,0.9,0.1192,3368.0
Average,0.9,0.10111999999999999,3374.6
0,0.91,0.0952,3394.0
1,0.91,0.08,3439.0
2,0.91,0.072,3420.0
3,0.91,0.0896,3405.0
4,0.91,0.0816,3397.0
Average,0.91,0.08368,3411.0
0,0.92,0.0752,3430.0
1,0.92,0.0648,3468.0
2,0.92,0.0792,3451.0
3,0.92,0.0784,3447.0
4,0.92,0.0808,3432.0
Average,0.92,0.07568,3445.6
0,0.93,0.0648,3462.0
1,0.93,0.0544,3501.0
2,0.93,0.0568,3494.0
3,0.93,0.084,3483.0
4,0.93,0.0712,3475.0
Average,0.93,0.06624,3483.0
0,0.9400000000000001,0.076,3497.0
1,0.9400000000000001,0.0536,3530.0
2,0.9400000000000001,0.0456,3528.0
3,0.9400000000000001,0.0624,3519.0
4,0.9400000000000001,0.0552,3506.0
Average,0.9400000000000001,0.05855999999999999,3516.0
0,0.9500000000000001,0.0448,3530.0
1,0.9500000000000001,0.0424,3558.0
2,0.9500000000000001,0.052,3570.0
3,0.9500000000000001,0.0512,3561.0
4,0.9500000000000001,0.0592,3551.0
Average,0.9500000000000001,0.04992,3554.0
0,0.96,0.0464,3581.0
1,0.96,0.0488,3587.0
2,0.96,0.0392,3597.0
3,0.96,0.0568,3600.0
4,0.96,0.052,3592.0
Average,0.96,0.04864,3591.4
0,0.97,0.0368,3628.0
1,0.97,0.052,3636.0
2,0.97,0.0352,3628.0
3,0.97,0.0544,3636.0
4,0.97,0.044,3627.0
Average,0.97,0.04448,3631.0
0,0.98,0.0328,3680.0
1,0.98,0.032,3679.0
2,0.98,0.0368,3661.0
3,0.98,0.036,3675.0
4,0.98,0.0304,3670.0
Average,0.98,0.033600000000000005,3673.0
0,0.99,0.0288,3717.0
1,0.99,0.0384,3722.0
2,0.99,0.0344,3703.0
3,0.99,0.032,3719.0
4,0.99,0.04,3711.0
Average,0.99,0.03472,3714.4
